,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
11,2021-10-03,19:06,Liga MX,Apertura 2021 Regular Season,Sun,Home,L,0,1,Cruz Azul,52.0,10333.0,Jonathan Orozco,4-4-2,Luis Santander,Match Report,,11,3,,0,0,2022,Tijuana
12,2021-10-14,20:00,Liga MX,Apertura 2021 Regular Season,Thu,Away,D,1,1,Querétaro,38.0,8471.0,Brayan Angulo,4-4-2,Eduardo Basulto,Match Report,,7,2,,0,0,2022,Tijuana
13,2021-10-20,19:06,Liga MX,Apertura 2021 Regular Season,Wed,Home,D,0,0,Guadalajara,33.0,10333.0,Brayan Angulo,4-4-2,Juan Esquivel,Match Report,,9,3,,0,0,2022,Tijuana
14,2021-10-24,12:00,Liga MX,Apertura 2021 Regular Season,Sun,Away,L,1,3,UNAM,51.0,11981.0,Brayan Angulo,4-2-3-1,Fernando Hernández,Match Report,,12,5,,0,0,2022,Tijuana
15,2021-10-28,19:00,Liga MX,Apertura 2021 Regular Season,Thu,Away,W,2,0,Atlas,35.0,10299.0,Brayan Angulo,4-2-3-1,Óscar Macias,Match Report,,11,4,,0,0,2022,Tijuana
16,2021-11-06,20:06,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,3,2,Pachuca,59.0,6333.0,Brayan Angulo,4-2-3-1,Eduardo Basulto,Match Report,,13,5,,0,0,2022,Tijuana
17,2022-01-08,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,L,0,2,Cruz Azul,58.0,16271.0,Brayan Angulo,4-5-1,Daniel Quintero,Match Report,,13,3,,0,0,2022,Tijuana
18,2022-01-15,19:06,Liga MX,Clausura 2022 Regular Season,Sat,Home,D,1,1,León,52.0,8333.0,Brayan Angulo,4-3-3,Oscar Mejia,Match Report,,21,8,,0,0,2022,Tijuana
19,2022-01-28,21:00,Liga MX,Clausura 2022 Regular Season,Fri,Away,L,1,3,Puebla,45.0,11180.0,Brayan Angulo,4-3-3,Guillermo Pacheco Larios,Match Report,,8,1,,0,0,2022,Tijuana
20,2022-02-05,19:06,Liga MX,Clausura 2022 Regular Season,Sat,Home,W,1,0,UNAM,56.0,11633.0,Brayan Angulo,4-2-3-1,Diego Montaño,Match Report,,27,10,,0,1,2022,Tijuana
21,2022-02-11,18:00,Liga MX,Clausura 2022 Regular Season,Fri,Away,L,0,2,Mazatlán,59.0,8221.0,Brayan Angulo,4-1-4-1,Fernando Guerrero,Match Report,,10,2,,0,0,2022,Tijuana
22,2022-02-18,19:06,Liga MX,Clausura 2022 Regular Season,Fri,Home,D,1,1,Necaxa,53.0,10333.0,Brayan Angulo,4-3-3,Ismael Lopez,Match Report,,16,3,,0,0,2022,Tijuana
23,2022-02-25,19:06,Liga MX,Clausura 2022 Regular Season,Fri,Home,W,2,0,Atlas,48.0,14333.0,Brayan Angulo,4-2-3-1,Jorge Pérez,Match Report,,16,8,,0,0,2022,Tijuana
24,2022-03-01,19:00,Liga MX,Clausura 2022 Regular Season,Tue,Away,W,2,1,Toluca,36.0,12523.0,Brayan Angulo,4-2-3-1,Jorge Camacho,Match Report,,6,2,,0,0,2022,Tijuana
25,2022-03-13,19:00,Liga MX,Clausura 2022 Regular Season,Sun,Away,L,0,4,Santos,55.0,9895.0,Brayan Angulo,4-2-3-1,Brian Gonzalez,Match Report,,12,2,,0,0,2022,Tijuana
26,2022-03-20,20:06,Liga MX,Clausura 2022 Regular Season,Sun,Home,W,1,0,FC Juárez,41.0,17333.0,Brayan Angulo,4-2-3-1,Luis Santander,Match Report,,12,2,,0,1,2022,Tijuana
27,2022-04-03,19:00,Liga MX,Clausura 2022 Regular Season,Sun,Away,L,0,2,UANL,42.0,37691.0,Brayan Angulo,4-2-3-1,Óscar Macias,Match Report,,13,8,,0,0,2022,Tijuana
28,2022-04-06,19:06,Liga MX,Clausura 2022 Regular Season,Wed,Home,D,1,1,Atlético,55.0,13533.0,Brayan Angulo,4-2-3-1,Jesus Lopez,Match Report,,22,7,,1,1,2022,Tijuana
29,2022-04-11,21:00,Liga MX,Clausura 2022 Regular Season,Mon,Away,D,0,0,Pachuca,34.0,9191.0,Brayan Angulo,4-2-3-1,Daniel Quintero,Match Report,,5,0,,0,0,2022,Tijuana
30,2022-04-15,19:06,Liga MX,Clausura 2022 Regular Season,Fri,Home,L,1,3,América,50.0,27333.0,Brayan Angulo,4-2-3-1,Luis Santander,Match Report,,6,1,,0,0,2022,Tijuana
31,2022-04-19,21:00,Liga MX,Clausura 2022 Regular Season,Tue,Away,L,1,2,Guadalajara,56.0,20945.0,Brayan Angulo,4-3-3,Adonai Escobedo,Match Report,,14,4,,0,0,2022,Tijuana
32,2022-04-24,19:06,Liga MX,Clausura 2022 Regular Season,Sun,Home,D,2,2,Querétaro,46.0,,Brayan Angulo,4-1-4-1,Marco Ortíz,Match Report,,18,8,,1,1,2022,Tijuana
33,2022-04-30,19:06,Liga MX,Clausura 2022 Regular Season,Sat,Away,L,0,2,Monterrey,44.0,28642.0,Brayan Angulo,4-2-3-1,Daniel Quintero,Match Report,,7,3,,0,0,2022,Tijuana
0,2021-07-23,20:00,Liga MX,Apertura 2021 Regular Season,Fri,Home,L,1,3,Toluca,40.0,7345.0,Pol García,4-5-1,Jorge Rojas,Match Report,,7,1,,0,0,2022,FC Juarez
1,2021-07-31,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,L,0,2,Atlas,41.0,7859.0,Maximiliano Olivera,5-4-1,Oscar Mejia,Match Report,,7,0,,0,0,2022,FC Juarez
2,2021-08-07,17:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,D,2,2,Guadalajara,35.0,9208.0,Maximiliano Olivera,5-4-1,Fernando Hernández,Match Report,,8,2,,1,1,2022,FC Juarez
3,2021-08-13,20:00,Liga MX,Apertura 2021 Regular Season,Fri,Home,D,1,1,Tijuana,69.0,7806.0,Maximiliano Olivera,4-2-3-1,Edgar Morales,Match Report,,18,5,,1,1,2022,FC Juarez
4,2021-08-18,20:00,Liga MX,Apertura 2021 Regular Season,Wed,Home,L,1,2,América,52.0,13992.0,Maximiliano Olivera,4-4-2,Luis Santander,Match Report,,8,2,,0,0,2022,FC Juarez
5,2021-08-22,19:00,Liga MX,Apertura 2021 Regular Season,Sun,Away,L,0,1,Necaxa,64.0,8983.0,Maximiliano Olivera,4-3-3,Daniel Quintero,Match Report,,11,2,,0,0,2022,FC Juarez
6,2021-08-29,18:00,Liga MX,Apertura 2021 Regular Season,Sun,Away,L,0,2,Santos,31.0,11691.0,Maximiliano Olivera,5-4-1,Óscar Macias,Match Report,,5,0,,0,0,2022,FC Juarez
7,2021-09-10,20:00,Liga MX,Apertura 2021 Regular Season,Fri,Home,W,2,1,Cruz Azul,45.0,11623.0,Hugo González Durán,4-1-4-1,Marco Ortíz,Match Report,,9,4,,0,0,2022,FC Juarez
8,2021-09-18,17:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,W,1,0,León,29.0,10078.0,Maximiliano Olivera,4-4-2,Adonai Escobedo,Match Report,,10,5,,0,0,2022,FC Juarez
9,2021-09-21,20:00,Liga MX,Apertura 2021 Regular Season,Tue,Home,W,1,0,Atlético,46.0,11906.0,Maximiliano Olivera,5-3-2,Eduardo Basulto,Match Report,,4,1,,1,1,2022,FC Juarez
10,2021-09-28,18:00,Liga MX,Apertura 2021 Regular Season,Tue,Away,L,1,3,Mazatlán,59.0,5880.0,Maximiliano Olivera,5-3-2,Jorge Pérez,Match Report,,11,3,,0,0,2022,FC Juarez
11,2021-10-01,20:00,Liga MX,Apertura 2021 Regular Season,Fri,Home,W,3,1,Monterrey,39.0,9608.0,Maximiliano Olivera,5-3-2,Fernando Hernández,Match Report,,8,4,,0,0,2022,FC Juarez
12,2021-10-08,18:00,Liga MX,Apertura 2021 Regular Season,Fri,Home,D,0,0,Querétaro,78.0,10646.0,Maximiliano Olivera,5-3-2,Marco Ortíz,Match Report,,22,2,,0,0,2022,FC Juarez
13,2021-10-17,12:00,Liga MX,Apertura 2021 Regular Season,Sun,Away,L,0,1,UNAM,49.0,9000.0,Maximiliano Olivera,5-3-2,Adonai Escobedo,Match Report,,6,2,,0,0,2022,FC Juarez
14,2021-10-24,21:00,Liga MX,Apertura 2021 Regular Season,Sun,Away,D,1,1,Pachuca,43.0,2747.0,Maximiliano Olivera,5-3-2,Diego Montaño,Match Report,,11,4,,0,0,2022,FC Juarez
15,2021-10-29,20:00,Liga MX,Apertura 2021 Regular Season,Fri,Home,L,0,2,Puebla,52.0,10942.0,Maximiliano Olivera,5-3-2,Erick Miranda,Match Report,,7,2,,0,0,2022,FC Juarez
16,2021-11-06,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,L,0,3,UANL,41.0,26243.0,Maximiliano Olivera,5-3-2,Óscar Macias,Match Report,,6,2,,0,0,2022,FC Juarez
17,2022-01-07,18:00,Liga MX,Clausura 2022 Regular Season,Fri,Home,W,2,1,Necaxa,36.0,7731.0,Maximiliano Olivera,5-3-2,Luis Santander,Match Report,,11,4,,0,1,2022,FC Juarez
18,2022-01-15,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,L,0,1,Cruz Azul,56.0,13801.0,Maximiliano Olivera,4-1-4-1,Guillermo Pacheco Larios,Match Report,,10,2,,0,0,2022,FC Juarez
19,2022-01-20,21:00,Liga MX,Clausura 2022 Regular Season,Thu,Away,W,1,0,Atlético,60.0,5397.0,Maximiliano Olivera,4-1-4-1,Erick Miranda,Match Report,,17,3,,1,2,2022,FC Juarez
20,2022-02-09,18:00,Liga MX,Clausura 2022 Regular Season,Wed,Home,L,1,3,Guadalajara,44.0,7801.0,Maximiliano Olivera,4-4-2,Brian Gonzalez,Match Report,,9,1,,0,0,2022,FC Juarez
21,2022-02-18,20:00,Liga MX,Clausura 2022 Regular Season,Fri,Home,D,0,0,Santos,52.0,7355.0,Maximiliano Olivera,4-4-2,Fernando Hernández,Match Report,,6,0,,0,0,2022,FC Juarez
22,2022-02-25,20:00,Liga MX,Clausura 2022 Regular Season,Fri,Home,L,2,3,UANL,43.0,10113.0,Maximiliano Olivera,,Daniel Quintero,Match Report,,9,3,,0,0,2022,FC Juarez
23,2022-03-01,19:00,Liga MX,Clausura 2022 Regular Season,Tue,Away,D,1,1,Puebla,39.0,26100.0,Dario Lezcano,5-3-2,Ismael Lopez,Match Report,,2,1,,0,0,2022,FC Juarez
24,2022-03-04,20:00,Liga MX,Clausura 2022 Regular Season,Fri,Home,L,0,1,León,38.0,9307.0,Dario Lezcano,3-4-3,Oscar Mejia,Match Report,,6,1,,0,0,2022,FC Juarez
25,2022-03-11,20:00,Liga MX,Clausura 2022 Regular Season,Fri,Home,L,1,2,Atlas,49.0,9002.0,Maximiliano Olivera,3-4-3,Erick Miranda,Match Report,,6,2,,0,0,2022,FC Juarez
26,2022-03-15,21:06,Liga MX,Clausura 2022 Regular Season,Tue,Away,L,0,3,Monterrey,34.0,29052.0,Marcos Mauro López Gutiérrez,5-3-2,Victor Caceres,Match Report,,6,2,,0,0,2022,FC Juarez
27,2022-03-20,20:06,Liga MX,Clausura 2022 Regular Season,Sun,Away,L,0,1,Tijuana,59.0,17333.0,Maximiliano Olivera,5-3-2,Luis Santander,Match Report,,20,6,,0,0,2022,FC Juarez
28,2022-04-02,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,L,0,1,UNAM,53.0,11748.0,Maximiliano Olivera,5-3-2,Fernando Guerrero,Match Report,,8,2,,0,0,2022,FC Juarez
29,2022-04-09,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,L,0,3,América,42.0,19757.0,Maximiliano Olivera,5-3-2,César Arturo Ramos,Match Report,,4,1,,0,0,2022,FC Juarez
30,2022-04-15,20:00,Liga MX,Clausura 2022 Regular Season,Fri,Home,L,1,2,Pachuca,48.0,8568.0,Maximiliano Olivera,5-4-1,Óscar Macias,Match Report,,13,3,,0,0,2022,FC Juarez
31,2022-04-19,21:00,Liga MX,Clausura 2022 Regular Season,Tue,Away,W,1,0,Toluca,41.0,9211.0,Maximiliano Olivera,3-5-2,Victor Caceres,Match Report,,8,3,,0,0,2022,FC Juarez
32,2022-04-22,20:00,Liga MX,Clausura 2022 Regular Season,Fri,Home,L,0,2,Mazatlán,62.0,7688.0,Maximiliano Olivera,3-5-2,Oscar Mejia,Match Report,,5,0,,0,0,2022,FC Juarez
33,2022-04-30,17:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,L,0,4,Querétaro,37.0,,Maximiliano Olivera,4-4-2,Adonai Escobedo,Match Report,,6,2,,0,1,2022,FC Juarez
0,2020-07-25,21:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,W,2,0,Santos,68.0,,José Corona,4-3-3,Fernando Hernández,Match Report,,22,7,,0,1,2021,Cruz Azul
1,2020-07-31,19:30,Liga MX,Guardianes 2020 Regular Season,Fri,Away,D,1,1,Puebla,67.0,,José Corona,4-3-3,Óscar Macias,Match Report,,24,7,,0,0,2021,Cruz Azul
2,2020-08-08,19:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,W,2,0,León,34.0,,José Corona,4-1-4-1,César Arturo Ramos,Match Report,,16,5,,1,1,2021,Cruz Azul
3,2020-08-12,17:00,Liga MX,Guardianes 2020 Regular Season,Wed,Away,L,0,1,Querétaro,73.0,,José Corona,4-3-3,Jorge Rojas,Match Report,,20,5,,0,0,2021,Cruz Azul
4,2020-08-15,19:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,W,3,2,FC Juárez,59.0,,José Corona,4-4-2,Jorge Pérez,Match Report,,16,6,,0,0,2021,Cruz Azul
5,2020-08-23,19:35,Liga MX,Guardianes 2020 Regular Season,Sun,Away,W,3,1,Atlético,44.0,,José Corona,4-4-2,Oscar Mejia,Match Report,,10,5,,1,1,2021,Cruz Azul
6,2020-08-29,21:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,W,3,0,Necaxa,55.0,,José Corona,4-4-2,Marco Antonio Nava,Match Report,,17,6,,0,0,2021,Cruz Azul
7,2020-09-05,19:00,Liga MX,Guardianes 2020 Regular Season,Sat,Away,L,0,1,Atlas,61.0,,José Corona,4-1-3-2,Erick Yair Miranda,Match Report,,17,3,,0,0,2021,Cruz Azul
8,2020-09-09,19:00,Liga MX,Guardianes 2020 Regular Season,Wed,Home,W,1,0,Pachuca,54.0,,José Corona,4-1-3-2,Adonai Escobedo,Match Report,,15,3,,0,0,2021,Cruz Azul
9,2020-09-13,19:06,Liga MX,Guardianes 2020 Regular Season,Sun,Away,W,2,1,Tijuana,47.0,,José Corona,4-1-3-2,Oscar Mejia,Match Report,,13,5,,0,0,2021,Cruz Azul
10,2020-09-18,20:30,Liga MX,Guardianes 2020 Regular Season,Fri,Away,W,3,2,Mazatlán,41.0,,José Corona,4-4-2,Óscar Macias,Match Report,,11,6,,2,2,2021,Cruz Azul
11,2020-09-27,20:45,Liga MX,Guardianes 2020 Regular Season,Sun,Home,D,0,0,América,52.0,,José Corona,4-4-2,Jorge Pérez,Match Report,,18,7,,0,0,2021,Cruz Azul
12,2020-10-04,12:00,Liga MX,Guardianes 2020 Regular Season,Sun,Away,L,0,2,Toluca,67.0,,José Corona,4-1-3-2,César Arturo Ramos,Match Report,,31,6,,0,0,2021,Cruz Azul
13,2020-10-17,21:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,L,0,2,UANL,46.0,,José Corona,4-1-4-1,Eduardo Basulto,Match Report,,16,5,,0,1,2021,Cruz Azul
14,2020-10-25,17:30,Liga MX,Guardianes 2020 Regular Season,Sun,Away,W,2,0,Guadalajara,39.0,,José Corona,4-5-1,Erick Yair Miranda,Match Report,,19,4,,1,1,2021,Cruz Azul
15,2020-10-31,21:06,Liga MX,Guardianes 2020 Regular Season,Sat,Away,L,0,1,Monterrey,51.0,,José Corona,4-1-3-2,Luis Santander,Match Report,,14,4,,0,0,2021,Cruz Azul
16,2020-11-07,21:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,L,1,2,UNAM,54.0,,José Corona,4-4-2,Fernando Guerrero,Match Report,,14,7,,0,1,2021,Cruz Azul
17,2020-11-26,19:00,Liga MX,Quarter-finals,Thu,Away,W,3,1,UANL,28.0,,José Corona,4-1-4-1,Diego Montaño,Match Report,Leg 1 of 2,8,3,,0,0,2021,Cruz Azul
18,2020-11-29,18:30,Liga MX,Quarter-finals,Sun,Home,L,0,1,UANL,29.0,,José Corona,4-3-3,Marco Antonio Nava,Match Report,Leg 2 of 2; Cruz Azul won,10,3,,0,0,2021,Cruz Azul
19,2020-12-03,21:00,Liga MX,Semi-finals,Thu,Home,W,4,0,UNAM,41.0,,José Corona,4-3-3,Jorge Rojas,Match Report,Leg 1 of 2,12,6,,0,0,2021,Cruz Azul
20,2020-12-06,18:30,Liga MX,Semi-finals,Sun,Away,L,0,4,UNAM,43.0,,Julio Domínguez,3-4-3,César Arturo Ramos,Match Report,Leg 2 of 2; UNAM won,6,1,,0,0,2021,Cruz Azul
21,2021-01-10,19:06,Liga MX,Guardianes 2021 Regular Season,Sun,Away,L,0,1,Santos,50.0,,José Corona,4-3-3,Mario Vargas,Match Report,,12,3,,0,0,2021,Cruz Azul
22,2021-01-16,19:00,Liga MX,Guardianes 2021 Regular Season,Sat,Home,L,0,1,Puebla,64.0,,José Corona,4-3-3,Juan Esquivel,Match Report,,10,2,,0,0,2021,Cruz Azul
23,2021-01-25,21:00,Liga MX,Guardianes 2021 Regular Season,Mon,Away,W,1,0,Pachuca,41.0,,José Corona,5-4-1,Edgar Morales,Match Report,,6,2,,0,0,2021,Cruz Azul
24,2021-01-30,21:00,Liga MX,Guardianes 2021 Regular Season,Sat,Home,W,4,1,Querétaro,56.0,,José Corona,4-4-2,Luis Santander,Match Report,,18,7,,0,0,2021,Cruz Azul
25,2021-02-05,21:30,Liga MX,Guardianes 2021 Regular Season,Fri,Away,W,2,0,Necaxa,45.0,,José Corona,4-4-2,Victor Caceres,Match Report,,16,5,,0,0,2021,Cruz Azul
26,2021-02-17,21:00,Liga MX,Guardianes 2021 Regular Season,Wed,Away,W,2,0,UANL,30.0,,José Corona,4-4-2,Erick Yair Miranda,Match Report,,5,2,,0,0,2021,Cruz Azul
27,2021-02-20,19:00,Liga MX,Guardianes 2021 Regular Season,Sat,Home,W,3,2,Toluca,41.0,,José Corona,4-4-2,Óscar Macias,Match Report,,12,3,,0,0,2021,Cruz Azul
28,2021-02-27,21:00,Liga MX,Guardianes 2021 Regular Season,Sat,Away,W,1,0,León,35.0,,José Corona,4-4-2,Oscar Mejia,Match Report,,5,2,,0,0,2021,Cruz Azul
29,2021-03-03,21:00,Liga MX,Guardianes 2021 Regular Season,Wed,Home,W,1,0,Mazatlán,75.0,,Julio Domínguez,4-4-2◆,Luis Santander,Match Report,,14,6,,0,0,2021,Cruz Azul
30,2021-03-07,21:00,Liga MX,Guardianes 2021 Regular Season,Sun,Away,W,1,0,UNAM,54.0,,José Corona,4-3-3,César Arturo Ramos,Match Report,,9,4,,1,1,2021,Cruz Azul
31,2021-03-13,21:00,Liga MX,Guardianes 2021 Regular Season,Sat,Home,W,1,0,Monterrey,49.0,,José Corona,4-2-3-1,Adonai Escobedo,Match Report,,11,2,,0,0,2021,Cruz Azul
32,2021-03-20,19:00,Liga MX,Guardianes 2021 Regular Season,Sat,Home,W,3,2,Atlas,48.0,,José Corona,4-3-3,Jorge Rojas,Match Report,,10,6,,0,0,2021,Cruz Azul
33,2021-04-02,21:30,Liga MX,Guardianes 2021 Regular Season,Fri,Away,W,1,0,FC Juárez,59.0,5911.0,José Corona,4-4-1-1,César Arturo Ramos,Match Report,,19,3,,0,0,2021,Cruz Azul
34,2021-04-10,19:00,Liga MX,Guardianes 2021 Regular Season,Sat,Home,W,1,0,Guadalajara,41.0,,José Corona,4-2-3-1,Marco Ortíz,Match Report,,19,8,,0,0,2021,Cruz Azul
35,2021-04-17,21:05,Liga MX,Guardianes 2021 Regular Season,Sat,Away,D,1,1,América,57.0,,José Corona,4-1-4-1,Fernando Guerrero,Match Report,,8,2,,1,1,2021,Cruz Azul
36,2021-04-24,17:00,Liga MX,Guardianes 2021 Regular Season,Sat,Home,W,3,2,Atlético,48.0,,Julio Domínguez,4-4-2,Luis Santander,Match Report,,16,8,,1,1,2021,Cruz Azul
37,2021-05-01,19:00,Liga MX,Guardianes 2021 Regular Season,Sat,Home,D,1,1,Tijuana,48.0,,José Corona,4-4-2,Adonai Escobedo,Match Report,,17,8,,0,0,2021,Cruz Azul
38,2021-05-12,19:00,Liga MX,Quarter-finals,Wed,Away,L,1,2,Toluca,47.0,,José Corona,3-4-1-2,Marco Ortíz,Match Report,Leg 1 of 2,14,5,,0,0,2021,Cruz Azul
39,2021-05-15,20:05,Liga MX,Quarter-finals,Sat,Home,W,3,1,Toluca,58.0,,José Corona,4-4-2,Fernando Hernández,Match Report,Leg 2 of 2; Cruz Azul won,18,7,,1,1,2021,Cruz Azul
40,2021-05-19,20:30,Liga MX,Semi-finals,Wed,Away,D,0,0,Pachuca,43.0,12221.0,José Corona,4-1-4-1,Luis Santander,Match Report,Leg 1 of 2,10,3,,0,0,2021,Cruz Azul
41,2021-05-22,20:00,Liga MX,Semi-finals,Sat,Home,W,1,0,Pachuca,47.0,19807.0,José Corona,4-1-4-1,César Arturo Ramos,Match Report,Leg 2 of 2; Cruz Azul won,19,8,,0,0,2021,Cruz Azul
42,2021-05-27,21:00,Liga MX,Finals,Thu,Away,W,1,0,Santos,35.0,,José Corona,4-1-4-1,Fernando Guerrero,Match Report,Leg 1 of 2,8,4,,0,0,2021,Cruz Azul
43,2021-05-30,20:15,Liga MX,Finals,Sun,Home,D,1,1,Santos,36.0,,José Corona,4-1-4-1,Fernando Hernández,Match Report,Leg 2 of 2; Cruz Azul won,10,3,,0,0,2021,Cruz Azul
0,2020-07-27,20:00,Liga MX,Guardianes 2020 Regular Season,Mon,Away,W,2,1,Pachuca,48.0,,Bruno Valdez,4-4-2,Mario Vargas,Match Report,,13,7,,1,1,2021,America
1,2020-08-01,21:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,W,4,0,Tijuana,48.0,,Bruno Valdez,4-4-2,Adonai Escobedo,Match Report,,22,9,,0,0,2021,America
2,2020-08-07,19:30,Liga MX,Guardianes 2020 Regular Season,Fri,Away,D,1,1,Necaxa,43.0,,Bruno Valdez,4-4-2,Jorge Rojas,Match Report,,8,2,,0,0,2021,America
3,2020-08-13,21:00,Liga MX,Guardianes 2020 Regular Season,Thu,Home,W,3,1,Santos,55.0,,Paul Aguilar,4-4-2,Fernando Hernández,Match Report,,16,7,,0,0,2021,America
4,2020-08-16,21:00,Liga MX,Guardianes 2020 Regular Season,Sun,Away,L,1,4,Querétaro,63.0,,Paul Aguilar,4-1-4-1,Diego Montaño,Match Report,,12,7,,0,0,2021,America
5,2020-08-22,21:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,L,1,3,Monterrey,57.0,,Paul Aguilar,4-4-2,Fernando Guerrero,Match Report,,12,4,,1,1,2021,America
6,2020-08-29,19:00,Liga MX,Guardianes 2020 Regular Season,Sat,Away,W,2,1,Atlético,46.0,,Guillermo Ochoa,5-3-2,Jorge Pérez,Match Report,,17,7,,1,1,2021,America
7,2020-09-02,20:00,Liga MX,Guardianes 2020 Regular Season,Wed,Home,W,3,1,Mazatlán,37.0,,Guillermo Ochoa,5-3-2,Eduardo Basulto,Match Report,,5,2,,0,0,2021,America
8,2020-09-08,21:00,Liga MX,Guardianes 2020 Regular Season,Tue,Away,W,3,2,Puebla,59.0,,Guillermo Ochoa,5-3-2,Marco Antonio Nava,Match Report,,23,8,,1,1,2021,America
9,2020-09-12,21:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,D,1,1,Toluca,69.0,,Guillermo Ochoa,4-4-2◆,Fernando Guerrero,Match Report,,13,6,,0,0,2021,America
10,2020-09-19,21:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,W,1,0,Guadalajara,46.0,,Guillermo Ochoa,4-1-3-2,Fernando Hernández,Match Report,,13,3,,0,0,2021,America
11,2020-09-27,20:45,Liga MX,Guardianes 2020 Regular Season,Sun,Away,D,0,0,Cruz Azul,48.0,,Paul Aguilar,5-3-2,Jorge Pérez,Match Report,,4,2,,0,0,2021,America
12,2020-10-03,21:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,D,2,2,UNAM,61.0,,Henry Martín,4-3-1-2,Jorge Rojas,Match Report,,25,10,,1,1,2021,America
13,2020-10-19,21:00,Liga MX,Guardianes 2020 Regular Season,Mon,Away,L,2,3,León,49.0,,Henry Martín,4-4-2◆,César Arturo Ramos,Match Report,,20,7,,0,0,2021,America
14,2020-10-24,21:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,W,1,0,Atlas,67.0,,Emanuel Aguilera,4-4-2,Diego Montaño,Match Report,,22,9,,0,0,2021,America
15,2020-11-01,17:30,Liga MX,Guardianes 2020 Regular Season,Sun,Home,W,3,1,UANL,44.0,,Guillermo Ochoa,4-4-2,Marco Antonio Nava,Match Report,,10,6,,0,0,2021,America
16,2020-11-06,20:30,Liga MX,Guardianes 2020 Regular Season,Fri,Away,D,1,1,FC Juárez,54.0,,Guillermo Ochoa,4-4-2,Oscar Mejia,Match Report,,11,5,,0,0,2021,America
17,2020-11-25,21:06,Liga MX,Quarter-finals,Wed,Away,L,0,1,Guadalajara,51.0,,Guillermo Ochoa,3-4-3,Jorge Rojas,Match Report,Leg 1 of 2,15,8,,0,0,2021,America
18,2020-11-28,21:06,Liga MX,Quarter-finals,Sat,Home,L,1,2,Guadalajara,66.0,,Guillermo Ochoa,4-4-2,Jorge Pérez,Match Report,Leg 2 of 2; Guadalajara won,24,7,,0,0,2021,America
19,2021-01-09,21:00,Liga MX,Guardianes 2021 Regular Season,Sat,Home,W,2,1,Atlético,54.0,,Guillermo Ochoa,4-2-3-1,Alejandro Funk,Match Report,,17,5,,0,0,2021,America
20,2021-01-16,21:06,Liga MX,Guardianes 2021 Regular Season,Sat,Away,L,0,1,Monterrey,52.0,,Guillermo Ochoa,4-4-2,Jorge Pérez,Match Report,,4,1,,0,0,2021,America
21,2021-01-26,20:30,Liga MX,Guardianes 2021 Regular Season,Tue,Home,W,2,0,FC Juárez,45.0,,Emanuel Aguilera,4-4-2,Marco Antonio Nava,Match Report,,10,4,,0,0,2021,America
22,2021-01-31,19:06,Liga MX,Guardianes 2021 Regular Season,Sun,Away,D,1,1,Santos,53.0,,Emanuel Aguilera,4-2-3-1,Diego Montaño,Match Report,,13,4,,0,0,2021,America
23,2021-02-06,19:00,Liga MX,Guardianes 2021 Regular Season,Sat,Home,W,1,0,Puebla,52.0,,Guillermo Ochoa,4-2-3-1,César Arturo Ramos,Match Report,,6,3,,0,0,2021,America
24,2021-02-13,21:00,Liga MX,Guardianes 2021 Regular Season,Sat,Home,W,2,1,Querétaro,73.0,,Guillermo Ochoa,4-4-2,Adonai Escobedo,Match Report,,25,10,,0,0,2021,America
25,2021-02-20,21:00,Liga MX,Guardianes 2021 Regular Season,Sat,Away,L,0,3,Atlas,59.0,,Guillermo Ochoa,4-2-3-1,Fernando Guerrero,Match Report,Match awarded to Atlas,8,3,,1,1,2021,America
26,2021-02-27,19:00,Liga MX,Guardianes 2021 Regular Season,Sat,Home,W,2,0,Pachuca,57.0,,Guillermo Ochoa,4-2-3-1,Jorge Rojas,Match Report,,18,7,,0,0,2021,America
27,2021-03-03,19:06,Liga MX,Guardianes 2021 Regular Season,Wed,Away,W,2,0,Tijuana,46.0,,Guillermo Ochoa,4-2-3-1,Oscar Mejia,Match Report,,15,7,,0,0,2021,America
